Couple	Alyssa	Anne	Justin	Jenny	Loc	Maggie	Raquel														
523	3	2	4	2	6	4	3														
528	2	3	1	3	2	3	2														
536	1	1	2	1	1	1	1														
537	6	6	3	6	4	6	6														
546	5	5	5	5	5	5	5														
558	4	4	6	4	3	2	4														
																					
																					
																					
																					
																					
																					
																					
																					
																					7
																					8
																					2
																					4
																					1
																					6
																					5
																					3